assignee,id,phase,task,milestone,start,end,completion,dependencies,hyperlink
,1,Initiation,Requirements gathering,,01/04/2024,03/04/2024,50,,
Dav Bacci,99,Initiation,Requirements gathering,,04/04/2024,05/04/2024,55,,
,2,Initiation,Stakeholder workshop excluding Execs,,05/04/2024,06/04/2024,75,,
,3,Initiation,Story boarding,,05/04/2024,12/04/2024,80,,
,4,Initiation,Initiation complete,True,13/04/2024,13/04/2024,100,,
,5,Design,E2E data solution design,,07/04/2024,08/04/2024,35,,
,6,Design,Wireframes,,12/04/2024,16/04/2024,80,,
,7,Design,Prototyping,,13/04/2024,22/04/2024,40,,
,8,Design,Design complete,True,22/04/2024,22/04/2024,0,,
,9,Implementation,ETL,,09/04/2024,19/04/2024,15,,
,10,Implementation,Data modelling,,15/04/2024,21/04/2024,40,,
,11,Implementation,Measures & KPIs,,15/04/2024,17/04/2024,50,,
,12,Implementation,Dataviz,,20/04/2024,23/04/2024,15,,
,13,Implementation,Performance testing,,23/04/2024,28/04/2024,20,,
,14,Implementation,Implementation complete,True,29/04/2024,29/04/2024,0,,
,15,Deployment,User training,,29/04/2024,04/05/2024,65,,
,16,Deployment,Refresh schedule & alerts,,27/04/2024,28/04/2024,50,,
,17,Deployment,Executive presentation,,28/04/2024,30/04/2024,0,,
,18,Deployment,Deployment complete,True,07/05/2024,07/05/2024,0,,
,19,VD4 900,DEROUET,,04/01/2021,31/05/2021,72,,
,20,VD4 900,DEROUET,,03/01/2022,30/05/2022,47,,
,21,VD4 900,DEROUET,,02/01/2023,29/05/2023,37,,
,22,VD4 900,DEROUET,,01/01/2024,27/05/2024,66,,
,23,VD4 900,DEROUET,,06/01/2025,25/08/2025,9,,
,24,VD4 900,BARETTE,,02/09/2024,25/08/2025,17,,
,25,VD4 900,BARETTE,,05/01/2026,29/06/2026,54,,
,26,VD4 900,BARETTE,,04/01/2027,28/06/2027,78,,
,27,VD4 900,BARETTE,,03/01/2028,26/06/2028,37,,
,28,VD4 900,BARETTE,,01/01/2029,28/05/2029,18,,
,29,VD3 1300,DEROUET,,07/06/2021,27/09/2021,5,,
,30,VD3 1300,DEROUET,,06/06/2022,26/09/2022,91,,
,31,VD3 1300,DEROUET,,05/06/2023,25/09/2023,5,,
,32,VD3 1300,DEROUET,,03/06/2024,30/09/2024,89,,
,33,OREIS_EVE,DEROUET,,04/10/2021,25/10/2021,72,,
,34,OREIS_EVE,DEROUET,,03/10/2022,24/10/2022,53,,
,35,OREIS_EVE,DEROUET,,02/10/2023,23/10/2023,65,,
,36,OREIS_EPE,DEROUET,,01/11/2021,29/11/2021,85,,
,37,OREIS_EPE,DEROUET,,31/10/2022,28/11/2022,15,,
,38,OREIS_EPE,DEROUET,,30/10/2023,27/11/2023,37,,
,39,OREIS_Source Froide,DEROUET,,06/12/2021,27/12/2021,37,,
,40,OREIS_Source Froide,DEROUET,,05/12/2022,26/12/2022,96,,
,41,OREIS_Source Froide,DEROUET,,04/12/2023,25/12/2023,93,,
,42,OREIS_Source Froide,DEROUET,,09/12/2024,30/12/2024,4,,
,43,OREIS_Source Froide,BARETTE,,08/09/2025,08/09/2025,61,,
,44,OREIS_Source Froide,BARETTE,,10/11/2025,10/11/2025,71,,
,45,OREIS_EVE,DEROUET,,07/10/2024,28/10/2024,91,,
,46,OREIS_EVE,BARETTE,,15/12/2025,29/12/2025,84,,
,47,OREIS_EVE,BARETTE,,01/10/2029,22/10/2029,6,,
,48,OREIS_EPE,DEROUET,,04/11/2024,02/12/2024,51,,
,49,OREIS_EPE,BARETTE,,01/09/2025,01/09/2025,4,,
,50,OREIS_EPE,BARETTE,,15/09/2025,03/11/2025,45,,
,51,VD4 1300,BARETTE,,17/11/2025,08/12/2025,14,,
,52,VD4 1300,BARETTE,,06/07/2026,28/12/2026,30,,
,53,VD4 1300,BARETTE,,05/07/2027,27/12/2027,74,,
,54,VD4 1300,BARETTE,,03/07/2028,25/12/2028,78,,
,55,VD4 1300,BARETTE,,04/06/2029,24/09/2029,56,,
,56,OREIS_EPE,BARETTE,,29/10/2029,26/11/2029,78,,
,57,OREIS_Source Froide,BARETTE,,03/12/2029,31/12/2029,57,,
,58,VD4 900,BARETTE,,07/01/2030,03/06/2030,54,,
,59,VD4 1300,BARETTE,,10/06/2030,30/09/2030,32,,
,60,OREIS_EVE,BARETTE,,07/10/2030,28/10/2030,57,,
,61,OREIS_EPE,BARETTE,,04/11/2030,02/12/2030,3,,
,62,OREIS_Source Froide,BARETTE,,09/12/2030,30/12/2030,58,,
,63,VD4 900,GUERET,,02/09/2024,30/12/2024,31,,
,64,OREIS,GUERET,,06/01/2025,30/06/2025,8,,
,65,OREIS_Source Froide,GUERET,,07/07/2025,29/12/2025,26,,
,66,OREIS,GUERET,,05/01/2026,29/06/2026,88,,
,67,OREIS_Source Froide,GUERET,,06/07/2026,28/12/2026,97,,
,68,OREIS,GUERET,,04/01/2027,28/06/2027,42,,
,69,OREIS_Source Froide,GUERET,,05/07/2027,27/12/2027,26,,
,70,OREIS,GUERET,,03/01/2028,26/06/2028,70,,
,71,OREIS_Source Froide,GUERET,,03/07/2028,25/12/2028,48,,
,72,OREIS,GUERET,,01/01/2029,25/06/2029,49,,
,73,OREIS_Source Froide,GUERET,,02/07/2029,31/12/2029,61,,
,74,OREIS,GUERET,,07/01/2030,01/07/2030,29,,
,75,OREIS_Source Froide,GUERET,,08/07/2030,30/12/2030,0,,
,76,A définir,DURANTON,,08/09/2025,24/11/2025,93,,
,77,OREIS_EPE,DURANTON,,01/12/2025,01/12/2025,86,,
,78,OREIS_Source Froide,DURANTON,,08/12/2025,29/12/2025,7,,
,79,PRS,DURANTON,,05/01/2026,30/03/2026,8,,
,80,CCL,DURANTON,,06/04/2026,29/06/2026,28,,
,81,Chimie Enviro,DURANTON,,06/07/2026,28/09/2026,97,,
,82,VDIC,DURANTON,,05/10/2026,28/12/2026,77,,
,83,PRS,DURANTON,,04/01/2027,29/03/2027,40,,
,84,CCL,DURANTON,,05/04/2027,28/06/2027,91,,
,85,Chimie Enviro,DURANTON,,05/07/2027,27/09/2027,85,,
,86,VDIC,DURANTON,,04/10/2027,27/12/2027,98,,
,87,PRS,DURANTON,,03/01/2028,27/03/2028,35,,
,88,CCL,DURANTON,,03/04/2028,26/06/2028,19,,
,89,Chimie Enviro,DURANTON,,03/07/2028,25/09/2028,73,,
,90,VDIC,DURANTON,,02/10/2028,25/12/2028,32,,
,91,PRS,DURANTON,,01/01/2029,26/03/2029,73,,
,92,CCL,DURANTON,,02/04/2029,25/06/2029,76,,
,93,Chimie Enviro,DURANTON,,02/07/2029,24/09/2029,66,,
,94,VDIC,DURANTON,,01/10/2029,31/12/2029,4,,
,95,PRS,DURANTON,,07/01/2030,25/03/2030,68,,
,96,CCL,DURANTON,,01/04/2030,24/06/2030,86,,
,97,Chimie Enviro,DURANTON,,01/07/2030,23/09/2030,35,,
,98,VDIC,DURANTON,,30/09/2030,30/12/2030,26,,
,99,VD4 900,ABDELLAOUI,,07/03/2022,25/04/2022,38,,
,100,VD4 900,ABDELLAOUI,,02/05/2022,29/08/2022,35,,
,101,VD4 900,ABDELLAOUI,,05/09/2022,26/09/2022,24,,
,102,VD4 900,ABDELLAOUI,,03/10/2022,02/01/2023,87,,
,103,VD4 900,ABDELLAOUI,,09/01/2023,24/04/2023,42,,
,104,VD4 900,ABDELLAOUI,,01/05/2023,29/04/2024,94,,
,105,VD4 900,ABDELLAOUI,,06/05/2024,28/10/2024,93,,
,106,VD4 900,ABDELLAOUI,,04/11/2024,25/08/2025,88,,
,107,VD3 1300,AJDNIK,,04/01/2021,26/04/2021,70,,
,108,VD3 1300,AJDNIK,,03/05/2021,26/07/2021,33,,
,109,VD3 1300,AJDNIK,,02/08/2021,25/07/2022,88,,
,110,VD4 900,AJDNIK,,01/08/2022,28/08/2023,42,,
,111,VD4 900,AJDNIK,,04/09/2023,29/04/2024,60,,
,112,VD4 900,AJDNIK,,06/05/2024,28/10/2024,24,,
,113,VD4 900,AJDNIK,,04/11/2024,26/05/2025,0,,
,114,VD4 900,AJDNIK,,02/06/2025,29/09/2025,19,,
,115,VD4 900,AJDNIK,,06/10/2025,28/12/2026,93,,
,116,VD4 900,AJDNIK,,04/01/2027,30/08/2027,36,,
,117,OREIS_EVE,AJDNIK,,06/09/2027,26/06/2028,77,,
,118,VD4 900,ARNAUD,,02/09/2024,05/10/2025,18,,
,119,VD4 900,ARNAUD,,06/10/2025,19/07/2026,77,,
,120,OREIS_Source Froide,GRIFFOUL,,06/10/2025,31/08/2026,1,,
,121,OREIS_Source Froide,ARNAUD,,20/07/2026,01/11/2026,5,,
,122,OREIS_Source Froide,ARNAUD,,02/11/2026,05/09/2027,89,,
,123,OREIS_Source Froide,ARNAUD,,06/09/2027,03/12/2028,40,,
,124,OREIS_EVE,ARNAUD,,04/12/2028,30/09/2029,25,,
,125,OREIS_EVE,ARNAUD,,01/10/2029,04/08/2030,75,,
,126,A définir,ARNAUD,,05/08/2030,01/09/2030,19,,
,127,OREIS_EPE,BEAUFILS,,04/10/2021,26/09/2022,30,,
,128,VD4 900,BEAUFILS,,03/10/2022,28/11/2022,14,,
,129,OREIS_Source Froide,BEAUFILS,,05/12/2022,27/11/2023,35,,
,130,VD4 900,BEAUFILS,,04/12/2023,11/03/2024,95,,
,131,OREIS_Source Froide,BEAUFILS,,18/03/2024,29/04/2024,10,,
,132,OREIS_Source Froide,BEAUFILS,,06/05/2024,23/09/2024,45,,
,133,OREIS_Source Froide,BEAUFILS,,30/09/2024,24/02/2025,30,,
,134,OREIS_EPE,BEAUFILS,,03/03/2025,27/04/2026,33,,
,135,OREIS_Source Froide,BEAUFILS,,04/05/2026,29/03/2027,76,,
,136,OREIS_Source Froide,BEAUFILS,,05/04/2027,28/02/2028,82,,
,137,OREIS_EPE,BEAUFILS,,06/03/2028,25/06/2029,98,,
,138,VD4 900,BESSEGHIER,,04/01/2021,25/10/2021,95,,
,139,VD4 900,BESSEGHIER,,01/11/2021,25/04/2022,2,,
,140,VD4 900,BESSEGHIER,,02/05/2022,22/08/2022,95,,
,141,VD4 900,BESSEGHIER,,29/08/2022,10/10/2022,82,,
,142,VD4 900,BESSEGHIER,,17/10/2022,21/11/2022,56,,
,143,VD4 900,BESSEGHIER,,28/11/2022,29/05/2023,29,,
,144,VD4 900,BESSEGHIER,,05/06/2023,10/07/2023,0,,
,145,VD4 900,BESSEGHIER,,17/07/2023,31/07/2023,79,,
,146,VD4 900,BESSEGHIER,,07/08/2023,08/01/2024,28,,
,147,VD4 900,BESSEGHIER,,15/01/2024,11/03/2024,70,,
,148,VD4 900,BESSEGHIER,,18/03/2024,26/05/2025,5,,
,149,VD4 900,BESSEGHIER,,02/06/2025,01/09/2025,81,,
,150,CCL,BESSEGHIER,,08/09/2025,24/11/2025,71,,
,151,VD4 900,BESSEGHIER,,01/12/2025,30/08/2027,73,,
